Sample,MorphoAge,z_score,control,delta_MorphoAge,Name,SMILES
L16r06c07,24.04645521,1.29151118,22.29380348,1.752651721,(-)-Ambroxide,CC1(CCCC2(C1CCC3(C2CCO3)C)C)C
L16r06c07,24.27778466,1.871878068,22.20040665,2.077378006,(-)-Ambroxide,CC1(CCCC2(C1CCC3(C2CCO3)C)C)C
L09r08c06,19.71615665,0.200270084,19.59847323,0.117683417,(-)-Borneol,CC1(C2CCC1(C(C2)O)C)C
L09r08c06,19.54679148,0.594166334,19.22216209,0.324629389,(-)-Borneol,CC1(C2CCC1(C(C2)O)C)C
L38r05c05,22.93464457,1.670740853,21.03364188,1.901002689,(-)-Bornyl acetate,CC(=O)OC1CC2CCC1(C)C2(C)C
L38r05c05,22.99240248,0.747938478,22.05172586,0.940676623,(-)-Bornyl acetate,CC(=O)OC1CC2CCC1(C)C2(C)C
L37r07c03,18.81482816,0.676619709,18.2623219,0.552506264,(-)-CAMPHOR,CC1(C)C2CCC1(C)C(=O)C2
L37r07c03,23.81590585,1.081623839,22.27563341,1.54027244,(-)-CAMPHOR,CC1(C)C2CCC1(C)C(=O)C2
L41r08c02,21.18150176,-0.397711269,21.79330942,-0.611807659,(-)-Camphoric acid,CC1(C)C(CCC1(C)C(O)=O)C(O)=O
L41r08c02,22.33925299,0.30015521,21.85196892,0.487284068,(-)-Camphoric acid,CC1(C)C(CCC1(C)C(O)=O)C(O)=O
L37r01c04,19.0419637,0.953614271,18.2623219,0.779641805,(-)-Carvone,CC(=C)[C@@H]1CC=C(C)C(=O)C1
L37r01c04,23.55900578,0.900708298,22.27563341,1.283372372,(-)-Carvone,CC(=C)[C@@H]1CC=C(C)C(=O)C1
L22r07c03,20.60307226,2.929958601,18.63808742,1.964984846,(-)-Citronellal,CC(CCC=C(C)C)CC=O
L22r07c03,19.69086303,0.948503984,18.9687986,0.722064429,(-)-Citronellal,CC(CCC=C(C)C)CC=O
L27r03c11,23.44202616,1.083010993,21.84653476,1.595491399,(-)-Fenchone,CC1(C2CCC(C2)(C1=O)C)C
L27r03c11,22.94459854,1.009998998,21.46679113,1.477807412,(-)-Fenchone,CC1(C2CCC(C2)(C1=O)C)C
