SMILES,delta_MorphoAge_mean,delta_MorphoAge_std,Class
CCP(CC)CC.CC(=O)OCC1C(C(C(C(O1)[S-])OC(=O)C)OC(=O)C)OC(=O)C.[Au+],-7.411841293,0.45033612099999987,0
OC(=O)\C=C/C(O)=O.C1CCC(CC1)C(CC2CCCCN2)C3CCCCC3,-7.352100972,0.514337968,0
Fc1ccc(cc1)C(CCCN2CCC3(CC2)N(CNC3=O)c4ccccc4)c5ccc(F)cc5,-6.17311642,0.18692948649999996,0
CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-],-5.90327511,0.700512378,0
CCCCCCCCCCCC[N+](C)(C)CCOC1=CC=CC=C1.[Br-],-5.897215945,0.7296128409999998,0
CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)C4(CC)O)C2=NC5=C1C=C(C=C5)OC(=O)N6CCC(CC6)N7CCCCC7,-5.84797813,0.6342635499999996,0
CC1CCC2(OC1)OC3CC4C5CC=C6CC(CCC6(C)C5CCC4(C)C3C2C)OC7OC(CO)C(O)C(OC8OCC(O)C(O)C8O)C7OC9OC(C)C(O)C(O)C9O,-5.593099357,0.40693553550000017,0
CC1=C(C(=O)C=C2C1=CC=C3C2(CCC4(C3(CCC5(C4CC(CC5)(C)C(=O)OC)C)C)C)C)O,-5.281336954,0.6281634275000001,0
CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OCCC3=CC(=C(C=C3)O)O)O)OC4C(C(C(C(O4)C)O)O)O)OC(=O)C=CC5=CC(=C(C=C5)O)O)O)O)O,-5.100987535,0.8311420470000002,0
CC(C)(C)CC(C)(C)C1=CC(=C(O)C=C1)CC2=CC=C(Cl)C=C2Cl,-5.062274205,0.05501030099999982,0
[Cl-].CN(C)c1ccc2nc3cc(C)c(N)cc3[s+]c2c1,-4.939200287,0.09425164499999994,0
Cl.CCC1=C2CN3C(=O)C4=C(C=C3C2=NC5=C1C=C(OC(=O)N6CCC(CC6)N7CCCCC7)C=C5)C(O)(CC)C(=O)OC4,-4.79361782,1.15679021,0
Cc1cc(O)cc(C)c1O,-4.639397052,0.6357242304999997,0
C1CN(CCC1NC(=O)C2=CC=CC=C2C3=CC=C(C=C3)C(F)(F)F)CCCCC4(C5=CC=CC=C5C6=CC=CC=C64)C(=O)NCC(F)(F)F,-4.619230394,0.4447700615000003,0
CCCOC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,-4.604060631,0.13844473449999972,0
CC1=CC=CC=C1C2=CC(=NC=C2N(C)C(=O)C(C)(C)C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F)N4CCN(CC4)C,-4.560223796,0.8239990070000001,0
CCCCCCCCCCCCCC[C@@H](O)[C@@H](O)[C@@H](N)CO,-4.551579658,1.9106153960000003,0
CC(C)(C)C1=CC=C(C=C1)C(=O)CCCN2CCC(CC2)OC(C3=CC=CC=C3)C4=CC=CC=C4,-4.521363663,0.805782933,0
CC1C2C(CC3C2(CCC4C3CC=C5C4(CCC(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(O7)CO)O)O)OC8C(C(C(C(O8)C)O)O)O)O)C)C)OC1(CCC(C)COC9C(C(C(C(O9)CO)O)O)O)OC,-4.347785632,0.5483446860000001,0
CCC1NC(=O)C(NC(=O)C2=C(O)C=CC=N2)C(C)OC(=O)C(NC(=O)C3CC(=O)C(CSC4CN5CCC4CC5)CN3C(=O)C(CC6=CC=C(C=C6)N(C)C)N(C)C(=O)C7CCCN7C1=O)C8=CC=CC=C8,-4.28310239,0.9123436200000001,0
CCN(CC)CCCC(C)NC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC.O.O.Cl.Cl,-4.266556214,0.16255368750000043,0
C1=CC=C2C(=C1)C(=C3C=CC=CC3=N2)N,-4.259797074,0.2941246945000002,0
CCC12CC(=C3C4(C1N(CC4)CC=C2)C5=CC=CC=C5N3)C(=O)OC,-4.245808208,0.7616202409999999,0
CCN(CC)c1ccc2C=C(C(=O)Oc2c1)c3[nH]c4ccccc4n3,-4.194245553,0.07422997549999977,0
